time_in_ms,rotation,pwm_real
4791.42,150.82,-116.54
4803.43,192.3,-121.94
4815.44,214.28,-124.8
4827.48,234.22,-127.4
4839.51,236.3,-127.67
4851.54,236.52,-127.69
4863.56,218.88,-125.4
4875.58,199.39,-122.86
4887.58,162.04,-118.0
4899.6,122.83,-112.89
4911.64,83.43,-107.76
4923.67,26.35,-100.33
4935.7,-32.57,101.14
4947.72,-91.69,108.84
4959.75,-133.16,114.24
4971.78,-172.8,119.4
4983.78,-212.25,124.53
4995.8,-216.35,125.07
5007.81,-216.78,125.12
5019.82,-199.17,122.83
5031.85,-179.67,120.29
5043.86,-159.98,117.73
5055.87,-122.62,112.86
5067.9,-83.41,107.76
5079.9,-26.35,100.33
5091.92,32.57,-101.14
5103.96,74.03,-106.54
5115.96,131.32,-114.0
5127.96,154.95,-117.07
5139.98,175.07,-119.69
5152.01,194.82,-122.27
5164.04,179.22,-120.23
5176.07,177.6,-120.02
5188.09,159.77,-117.7
5200.1,122.59,-112.86
5212.1,83.4,-107.76
5224.11,44.0,-102.63
5236.11,-13.08,0.0
5248.13,-54.34,103.97
5260.15,-111.61,111.43
5272.16,-152.9,116.81
5284.16,-174.85,119.67
5296.17,-194.8,122.26
5308.19,-196.88,122.53
5320.21,-197.09,122.56
5332.21,-179.46,120.27
5344.22,-142.3,115.43
5356.25,-103.12,110.33
5368.27,-63.72,105.2
5380.29,-6.64,0.0
5392.32,52.29,-103.71
5404.34,93.74,-109.1
5416.34,133.38,-114.27
5428.38,155.16,-117.1
5440.41,175.09,-119.7
5452.42,177.17,-119.97
5464.46,159.72,-117.7
5476.46,140.25,-115.16
5488.49,120.56,-112.6
5500.5,83.19,-107.73
5512.51,43.98,-102.63
5524.52,4.58,0.0
5536.52,-52.5,103.74
5548.53,-93.76,109.11
5560.57,-133.38,114.27
5572.6,-155.16,117.1
5584.63,-157.43,117.4
5596.66,-175.33,119.73
5608.7,-177.19,119.97
5620.73,-159.73,117.7
5632.75,-122.59,112.86
5644.79,-101.06,110.06
5656.79,-63.5,105.17
5668.8,-24.27,100.06
5680.82,32.79,-101.17
5692.85,74.05,-106.54
5704.88,113.67,-111.7
5716.89,153.11,-116.83
5728.89,174.88,-119.67
5740.9,177.14,-119.96
5752.92,177.38,-119.99
5764.94,177.4,-120.0
5776.98,159.75,-117.7
5789.02,140.25,-115.16
5801.02,102.9,-110.3
5813.02,63.69,-105.19
5825.06,24.29,-100.06
5837.06,-32.79,101.17
5849.07,-74.05,106.54
5861.09,-131.33,114.0
5873.1,-154.95,117.07
5885.14,-175.07,119.69
5897.16,-177.16,119.97
5909.16,-159.72,117.7
5921.19,-157.91,117.46
5933.19,-122.4,112.84
5945.22,-101.04,110.06
5957.25,-63.5,105.17
5969.26,-6.61,0.0
5981.28,34.63,-101.41
5993.28,91.9,-108.87
6005.28,115.53,-111.94
6017.32,135.64,-114.56
6029.36,155.4,-117.13
6041.38,157.46,-117.4
6053.4,157.67,-117.43
6065.43,157.69,-117.43
6077.46,122.38,-112.83
6089.49,101.04,-110.06
6101.52,63.5,-105.17
6113.55,24.27,-100.06
6125.56,-32.79,101.17
6137.57,-74.05,106.54
6149.61,-113.67,111.7
6161.62,-153.11,116.83
6173.66,-157.22,117.37
6185.67,-175.3,119.72
6197.68,-177.19,119.97
6209.72,-177.38,120.0
6221.74,-177.41,120.0
6233.74,-142.09,115.4
6245.78,-120.75,112.62
6257.81,-83.21,107.73
6269.82,-43.98,102.63
6281.86,-4.58,0.0
6293.87,52.5,-103.74
6305.87,93.76,-109.11
6317.9,133.38,-114.27
6329.94,155.16,-117.1
6341.94,175.09,-119.7
6353.96,177.17,-119.97
6365.96,159.72,-117.7
6378.01,140.25,-115.16
6390.01,120.56,-112.6
6402.04,83.19,-107.73
6414.06,26.32,-100.33
6426.07,-14.92,0.0
6438.09,-72.19,106.3
6450.13,-113.47,111.67
6462.14,-153.09,116.83
6474.18,-174.87,119.67
6486.22,-177.14,119.96
6498.25,-195.04,122.29
6510.27,-196.9,122.54
6522.31,-179.44,120.26
6534.32,-159.96,117.73
6546.32,-122.61,112.86
6558.33,-83.41,107.76
6570.34,-44.0,102.63
6582.36,13.08,0.0
6594.4,72.0,-106.27
6606.44,113.45,-111.67
6618.48,153.09,-116.83
6630.5,174.87,-119.67
6642.52,194.8,-122.26
6654.54,196.88,-122.53
6666.54,179.44,-120.26
6678.58,159.96,-117.73
6690.59,122.61,-112.86
6702.6,83.41,-107.76
6714.6,44.0,-102.63
6726.64,4.58,0.0
6738.66,-52.5,103.74
6750.68,-93.76,109.11
6762.69,-133.38,114.27
6774.72,-155.16,117.1
6786.75,-175.09,119.7
6798.78,-194.83,122.27
6810.82,-196.88,122.53
6822.85,-179.44,120.26
6834.85,-159.96,117.73
6846.86,-122.61,112.86
6858.87,-101.06,110.06
6870.88,-45.84,102.87
6882.88,-4.77,0.0
6894.9,52.48,-103.73
6906.91,93.76,-109.11
6918.95,133.38,-114.27
6930.98,155.16,-117.1
6942.98,175.09,-119.7
6954.99,177.17,-119.97
6967.02,177.38,-120.0
6979.03,142.09,-115.4
6991.06,120.75,-112.62
7003.1,83.21,-107.73
7015.11,43.98,-102.63
7027.13,-13.08,0.0
7039.15,-54.34,103.97
7051.16,-111.61,111.43
7063.16,-152.9,116.81
7075.2,-174.85,119.67
7087.21,-194.8,122.26
7099.22,-196.88,122.53
7111.25,-197.09,122.56
7123.25,-179.46,120.27
7135.27,-142.3,115.43
7147.28,-103.12,110.33
7159.31,-63.72,105.2
7171.34,-6.64,0.0
7183.37,52.29,-103.71
7195.4,93.74,-109.1
7207.4,133.38,-114.27
7219.4,155.16,-117.1
7231.43,175.09,-119.7
7243.46,177.17,-119.97
7255.5,159.72,-117.7
7267.5,140.25,-115.16
7279.51,102.9,-110.3
7291.52,63.69,-105.19
7303.53,24.29,-100.06
7315.57,-15.13,0.0
7327.59,-72.21,106.3
7339.6,-113.47,111.67
7351.62,-153.09,116.83
7363.62,-174.87,119.67
7375.66,-194.8,122.26
7387.68,-196.88,122.53
7399.71,-197.09,122.56
7411.75,-197.12,122.56
7423.76,-179.46,120.27
7435.76,-159.96,117.73
7447.79,-122.61,112.86
7459.8,-83.41,107.76
7471.8,-44.0,102.63
7483.82,13.08,0.0
7495.83,72.0,-106.27
7507.84,113.45,-111.67
7519.85,153.09,-116.83
7531.87,174.87,-119.67
7543.88,194.8,-122.26
7555.89,196.88,-122.53
7567.93,179.44,-120.26
7579.97,159.96,-117.73
7591.97,140.27,-115.16
7603.99,102.9,-110.3
7615.99,63.69,-105.19
7628.03,24.29,-100.06
7640.04,-32.79,101.17
7652.04,-74.05,106.54
7664.05,-131.33,114.0
7676.06,-154.95,117.07
7688.1,-175.07,119.69
7700.1,-194.82,122.27
7712.12,-196.88,122.53
7724.16,-197.09,122.56
7736.2,-179.46,120.27
7748.23,-159.96,117.73
7760.26,-122.61,112.86
7772.28,-83.41,107.76
7784.3,-26.35,100.33
7796.34,14.92,0.0
7808.35,72.19,-106.3
7820.36,113.47,-111.67
7832.39,153.09,-116.83
7844.43,192.53,-121.97
7856.47,214.3,-124.8
7868.5,216.57,-125.1
7880.53,199.14,-122.83
7892.53,179.67,-120.29
7904.57,159.98,-117.73
7916.59,122.62,-112.86
7928.59,83.41,-107.76
7940.61,26.35,-100.33
7952.63,-32.57,101.14
7964.64,-91.69,108.84
7976.67,-133.16,114.24
7988.68,-172.8,119.4
8000.71,-194.59,122.24
8012.74,-196.86,122.53
8024.78,-197.09,122.56
8036.78,-179.46,120.27
8048.79,-159.96,117.73
8060.82,-122.61,112.86
8072.84,-83.41,107.76
8084.86,-44.0,102.63
8096.88,13.08,0.0
8108.93,72.0,-106.27
8120.94,113.45,-111.67
8132.95,153.09,-116.83
8144.95,174.87,-119.67
8156.99,194.8,-122.26
8169.02,196.88,-122.53
8181.04,197.09,-122.56
8193.04,161.8,-117.97
8205.08,140.46,-115.19
8217.09,102.92,-110.3
8229.09,63.7,-105.19
8241.1,6.63,0.0
8253.12,-52.29,103.71
8265.14,-93.74,109.1
8277.15,-133.38,114.27
8289.16,-155.16,117.1
8301.17,-175.09,119.7
8313.19,-177.17,119.97
8325.21,-159.72,117.7
8337.22,-140.25,115.16
8349.23,-120.56,112.6
8361.25,-83.19,107.73
8373.26,-43.98,102.63
8385.28,-4.58,0.0
8397.28,34.84,-101.44
8409.29,91.92,-108.87
8421.3,115.53,-111.94
8433.3,153.3,-116.86
8445.32,157.24,-117.37
8457.34,157.65,-117.43
8469.38,157.69,-117.43
8481.42,140.04,-115.13
8493.44,138.2,-114.89
8505.48,120.35,-112.57
8517.49,83.17,-107.73
8529.53,43.98,-102.63
8541.57,4.58,0.0
8553.6,-34.84,101.44
8565.6,-74.26,106.57
8577.61,-113.69,111.7
8589.63,-135.45,114.54
8601.66,-137.72,114.83
8613.68,-137.96,114.86
8625.71,-120.32,112.57
8637.75,-100.83,110.03
8649.75,-63.48,105.16
8661.79,-24.27,100.06
8673.83,15.13,0.0
8685.86,54.55,-104.0
8697.89,93.98,-109.14
8709.92,133.4,-114.27
8721.96,155.17,-117.1
8733.98,157.43,-117.4
8746.0,157.67,-117.43
8758.02,157.69,-117.43
8770.03,140.04,-115.13
8782.04,138.2,-114.89
8794.07,102.69,-110.27
8806.1,81.33,-107.49
8818.1,43.79,-102.6
8830.1,4.56,0.0
8842.11,-52.5,103.74
8854.11,-93.76,109.11
8866.14,-115.72,111.97
8878.18,-135.66,114.56
8890.22,-155.4,117.13
8902.24,-157.46,117.4
8914.28,-140.01,115.13
8926.32,-120.54,112.59
8938.32,-83.19,107.73
8950.32,-43.98,102.63
8962.36,-4.58,0.0
8974.38,34.84,-101.44
8986.42,91.92,-108.87
8998.44,115.53,-111.94
9010.48,135.64,-114.56
9022.52,155.4,-117.13
9034.54,157.46,-117.4
9046.57,140.01,-115.13
9058.6,120.54,-112.59
9070.63,100.85,-110.03
9082.67,63.48,-105.17
9094.71,24.27,-100.06
9106.72,-32.79,101.17
9118.76,-74.05,106.54
9130.8,-113.67,111.7
9142.82,-135.45,114.54
9154.86,-155.38,117.13
9166.86,-175.11,119.7
9178.88,-177.17,119.97
9190.9,-177.38,120.0
9202.93,-159.75,117.7
9214.96,-140.25,115.16
9226.98,-102.9,110.3
9239.02,-81.35,107.49
9251.06,-26.13,100.3
9263.09,14.94,0.0
9275.09,72.19,-106.3
9287.12,113.47,-111.67
9299.13,153.09,-116.83
9311.16,174.87,-119.67
9323.18,177.14,-119.96
9335.22,195.04,-122.29
9347.26,179.24,-120.24
9359.29,159.94,-117.72
9371.33,140.27,-115.16
9383.34,102.9,-110.3
9395.35,63.69,-105.19
9407.39,24.29,-100.06
9419.4,-32.79,101.17
9431.4,-74.05,106.54
9443.4,-131.33,114.0
9455.44,-154.95,117.07
9467.47,-175.07,119.69
9479.5,-194.82,122.27
9491.52,-196.88,122.53
9503.56,-179.44,120.26
9515.59,-159.96,117.73
9527.62,-140.27,115.16
9539.64,-102.9,110.3
9551.64,-46.04,102.89
9563.64,-4.79,0.0
9575.68,52.48,-103.73
9587.72,93.76,-109.11
9599.75,133.38,-114.27
9611.76,172.82,-119.4
9623.78,194.59,-122.24
9635.79,196.86,-122.53
9647.82,197.09,-122.56
9659.84,179.46,-120.27
9671.85,142.3,-115.43
9683.86,103.12,-110.33
9695.87,63.72,-105.2
9707.91,24.29,-100.06
9719.92,-32.79,101.17
9731.94,-91.71,108.84
9743.98,-133.16,114.24
9756.02,-155.14,117.1
9768.06,-175.09,119.7
9780.08,-194.82,122.27
9792.1,-196.88,122.53
9804.1,-179.44,120.26
9816.12,-177.62,120.03
9828.16,-159.77,117.7
9840.16,-140.25,115.16
9852.17,-102.9,110.3
9864.18,-63.69,105.19
9876.18,-24.29,100.06
9888.19,32.79,-101.17
9900.2,74.05,-106.54
9912.24,113.67,-111.7
9924.28,153.11,-116.83
9936.31,174.88,-119.67
9948.33,177.14,-119.96
9960.35,177.38,-119.99
9972.38,159.75,-117.7
9984.41,140.25,-115.16
9996.43,102.9,-110.3
10008.44,63.69,-105.19
